45431167,737589,34997968,9695610
21590097,601442,20720496,268159
7861681,219329,6916086,726266
7063511,117150,0,92018
5267339,115547,5134604,17188
4974400,126692,4817951,29757
4342178,95183,4116400,130595
3732429,282773,3093786,355870
2912938,88429,2797443,27066
2578394,59523,2304361,214510
2185355,199727,0,0
1740428,17917,1615343,107168
1705532,30518,1662742,12272
1663992,37574,1617792,8626
1398264,40461,1199267,158536
1269002,25713,1181547,61742
1160465,14882,0,18825
1024497,8892,890644,124961
923966,7928,900697,15341
852658,11157,802995,38506
835969,10827,811013,14129
803878,11261,778350,14267
738152,2116,731632,4404
682394,15210,640590,26594
630950,8394,605104,17452
563813,4336,537527,21950
547761,8753,536768,2240
512071,32848,443880,35343
494067,6692,474514,12861
469440,7275,459657,2508
429886,12772,0,18786
415938,4279,396969,14690
405970,5280,0,39311
385952,4652,365941,15359
366711,4072,355023,7616
357801,5308,321637,30856
348088,4832,274320,68936
330869,1482,300074,29313
308724,7076,288915,12733
302654,4618,286382,11654
275077,5646,250576,18855
242469,11046,192218,39205
209396,3654,205521,221
204790,5859,140392,58539
194818,884,88952,104982
179492,2624,174320,2548
175890,2836,153180,19874
167828,1404,150814,15610
151018,1924,148038,1056
135981,2000,128736,5245
132205,183,104856,27166
128368,1158,124514,2696
124864,3179,96321,25364
115607,2559,109296,3752
95399,1517,80433,13449
85732,237,84292,1203
73848,1869,71950,29
61694,2292,56531,2871
57247,1087,50930,5230
53734,721,2250,50763
51535,653,47912,2970
44873,974,27017,16882
42898,958,41322,618
40178,629,33500,6049
37920,347,37118,455
37393,459,36253,681
33823,848,29323,3652
30535,385,29187,963
26034,724,0,0
24335,159,23257,919
22675,647,19965,2063
21638,118,21242,278
21481,653,11906,8922
20397,180,2964,17253
19257,38,773,18446
16837,169,16355,313
16313,846,15322,145
15663,170,15327,166
15307,130,15113,64
14546,200,14028,318
12786,155,12032,599
12276,213,11962,101
12054,231,11050,773
11401,100,6859,4442
9665,225,55,9385
9439,1789,5964,1686
6758,43,6673,42
6122,204,5823,95
5801,286,5458,57
5653,183,5149,321
5470,91,5343,36
4759,28,4184,547
4173,147,4008,18
4086,27,3732,327
3772,93,2713,966
3468,60,3389,19
2725,37,2649,39
2435,20,1431,984
1311,2,1203,106
630,0,583,47
77,0,64,13
41,1,31,9
10,1,8,1
96457,4636,91176,645
